strain,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_WP_000754443.1_781,lcl_NC_009641.1_prot_WP_000972781.1_1403,lcl_NC_017349.1_prot_WP_000769690.1_948
Saureus--GCA_001975045.1_Saureus_UCI28,2,1,1,1
Saureus--GCA_001465755.1_Saureus_RIVM3897,2,1,1,1
Saureus--GCA_002000805.1_Saureus_USA300-SUR21,2,1,1,1
Saureus--GCA_000452385.2_Saureus_Tager104,2,1,1,1
Saureus--GCA_000695215.1_Saureus_H-EMRSA-15,2,1,1,1
Saureus--GCA_001515765.1_Saureus_HC1335,2,1,1,1
Sepidermidis--GCA_001956655.2_Strain_14.1.R1,1,1,1,
Saureus--GCA_001281145.1_Saureus_SA564,2,1,1,1
Scarnosus--GCA_000009405.1_TM300,1,1,1,
Saureus--GCA_900324255.1_Saureus_2_LA_86,2,1,1,1
Saureus--GCA_003354605.1_Saureus_422,2,1,1,1
Saureus--GCA_900635265.1_Saureus_NCTC12233,2,1,1,1
Saureus--GCA_003330905.1_Saureus_AR_474,2,1,1,1
Saureus--GCA_001018805.2_Saureus_FDAARGOS_15,2,1,1,1
Sxylosus--GCA_000709415.1_SMQ-121,1,1,1,
Saureus--GCA_009176875.1_Saureus_KG-22,2,1,1,1
Sxylosus--GCA_004571015.1_WT6,1,1,1,
Saureus--GCA_003855575.1_Saureus_80wphwpl_v1,2,1,1,1
Saureus--GCA_001456215.1_Saureus_MS4,2,1,1,1
Saureus--GCA_900607275.1_Saureus_BPH2070,2,1,1,1
Saureus--GCA_002000685.1_Saureus_USA300-SUR15,2,1,1,1
Saureus--GCA_000296595.1_Saureus_08BA02176,2,1,1,1
Saureus--GCA_008329865.1_Saureus_CFSAN082782,2,1,1,1
Saureus--GCA_000597965.1_Saureus_502A,2,1,1,1
Saureus--GCA_003595445.1_Saureus_USA300-SUR5,2,1,1,1
Sxylosus--GCA_003850005.1_UGA5,,1,1,
Saureus--GCA_009739845.1_Saureus_P1D1C1,2,1,1,1
Saureus--GCA_002202075.1_Saureus_Seattle1945,2,1,1,1
Saureus--GCA_000815205.1_Saureus_25b_MRSA,2,1,1,1
Saureus--GCA_005954685.1_Saureus_D592,2,1,1,1
Saureus--GCA_000237265.1_Saureus_LGA251,2,1,1,
Sepidermidis--GCA_902509505.1_Strain_Unknown2,1,1,1,
Sxylosus--GCA_001747745.1_BC10,1,1,1,
Sxylosus--GCA_003578895.1_SNUC_237,1,1,1,
Saureus--GCA_900607285.1_Saureus_BPH3244,2,1,1,1
Saureus--GCA_002025145.1_Saureus_ATCC6538,2,1,1,1
Saureus--GCA_004026165.1_Saureus_PCFH-226,2,1,1,1
Saureus--GCA_008619415.1_Saureus_KUH140046,2,1,1,1
Saureus--GCA_003354745.1_Saureus_466,2,1,1,1
Sepidermidis--GCA_902509485.1_Strain_Unknown5,1,1,1,
Saureus--GCA_001879545.1_Saureus_FORC_026,2,1,1,1
Saureus--GCA_001640885.1_Saureus_ZJ5499,2,1,1,1
Saureus--GCA_900324325.1_Saureus_14_5418,2,1,1,1
Saureus--GCA_003194405.1_Saureus_CHU15-056,2,1,1,1
Sepidermidis--GCA_011038575.1_E73,1,1,1,
Saureus--GCA_900324305.1_Saureus_13_LA_301,2,1,1,1
Saureus--GCA_900017775.1_Saureus_NZAK3,2,1,1,1
Saureus--GCA_001465635.1_Saureus_RIVM1295,2,1,1,1
Saureus--GCA_001296985.1_Saureus_GR2,2,1,1,1
Saureus--GCA_900635305.1_Saureus_NCTC4137,2,1,1,1
Saureus--GCA_003264815.1_Saureus_CMRSA-6,2,1,1,1
Sxylosus--GCA_003578765.1_SNUC_5173,1,1,1,
Saureus--GCA_001900185.1_Saureus_HG001,2,1,1,1
Sepidermidis--GCA_002850315.1_DAR1907,1,1,1,
Saureus--GCA_007954465.1_Saureus_BSN9R,2,1,1,1
Saureus--GCA_002000645.1_Saureus_USA300-SUR13,2,1,1,1
Sepidermidis--GCA_009769015.1_NCCP_16829,1,1,1,
Saureus--GCA_003073775.1_Saureus_AR462,2,1,1,1
Saureus--GCA_000159535.2_Saureus_TCH60,2,1,1,1
Saureus--GCA_003029645.1_Saureus_CFSAN064038,2,1,1,1
Saureus--GCA_004772175.1_Saureus_O55,,1,1,1
Saureus--GCA_001725965.1_Saureus_FORC_027,2,1,1,1
Saureus--GCA_002356675.1_Saureus_JH4899,2,1,1,1
Saureus--GCA_003073655.1_Saureus_AR465,2,1,1,1
Saureus--GCA_005706855.1_Saureus_Lr2,2,1,1,1
Sxylosus--GCA_007992815.1_NBRC_109770,1,1,1,
Saureus--GCA_900474665.1_Saureus_NCTC9752,2,1,1,1
Saureus--GCA_004785995.1_Saureus_WCUH29,2,1,1,1
Saureus--GCA_003354865.1_Saureus_45,2,1,1,1
Saureus--GCA_000815165.1_Saureus_26b_MRSA,2,1,1,1
Scarnosus--GCA_000969565.1_LTH7013,2,1,1,
Saureus--GCA_007998145.1_Saureus_X22,2,1,1,1
Saureus--GCA_003354805.1_Saureus_54,2,1,1,1
Sxylosus--GCA_003578795.1_SNUC_4555,1,1,1,
Saureus--GCA_003031285.1_Saureus_TF3198,2,1,1,1
Saureus--GCA_002204555.1_Saureus_ISU935,2,1,1,1
Sxylosus--GCA_000815285.1_LSR_02N,1,1,1,
Saureus--GCA_003595405.1_Saureus_USA300-SUR3,2,1,1,1
Saureus--GCA_000144955.1_Saureus_JKD6159,2,1,1,1
Sxylosus--GCA_001747735.1_CJH_74,1,1,1,
Sepidermidis--GCA_003856455.1_CDC121,1,,1,
Saureus--GCA_000237125.3_Saureus_M013,2,1,1,1
Saureus--GCA_002000845.1_Saureus_USA300-SUR23,2,1,1,1
Saureus--GCA_001018915.2_Saureus_NRS133,2,1,1,1
Saureus--GCA_000772025.1_Saureus_FORC_001,2,1,1,1
Saureus--GCA_004136655.1_Saureus_S57,2,1,1,1
Saureus--GCA_001656045.1_Saureus_08-02119,2,1,1,1
Saureus--GCA_005931035.1_Saureus_GD1108,2,1,1,1
Sepidermidis--GCA_002954055.1_FDAARGOS_161,1,1,1,
Saureus--GCA_007726495.1_Saureus_B2-15A,2,1,1,1
Saureus--GCA_009728775.1_Saureus_ST20130945,2,1,1,1
Saureus--GCA_900607295.1_Saureus_BPH2869,2,1,1,1
Saureus--GCA_001019435.2_Saureus_NRS1,2,1,1,1
Saureus--GCA_000253135.1_Saureus_ECT-R2,2,1,1,1
Saureus--GCA_001019575.2_Saureus_HPV107,2,1,1,1
Saureus--GCA_900620225.1_Saureus_BPH2819,2,1,1,1
Saureus--GCA_001183705.3_Saureus_USA300_2014.C01,2,1,1,1
Saureus--GCA_002850415.1_Saureus_K18,,1,1,1
Saureus--GCA_001021895.1_Saureus_CA15,2,1,1,1
Saureus--GCA_002089115.2_Saureus_GD1539,2,1,1,1
Saureus--GCA_900474575.1_Saureus_NCTC9944,2,1,1,1
Sxylosus--GCA_002836835.1_INIFAP_005-08,1,1,1,
Saureus--GCF_000953255.1_Staphylococcus_aureus_Sa_ILRI_217,2,1,1,1
Saureus--GCA_002000785.1_Saureus_USA300-SUR20,2,1,1,1
Saureus--GCA_900607305.1_Saureus_BPH2056,2,1,1,1
Saureus--GCA_003288395.1_Saureus_AR_475,2,1,1,1
Saureus--GCA_002850395.1_Saureus_K17,,1,1,1
Saureus--GCA_003957315.1_Saureus_PMB64-1,2,1,1,1
Saureus--GCA_003490125.1_Saureus_O17,2,1,1,1
Saureus--GCA_007410625.1_Saureus_JKD6004-DR,2,1,1,1
Sxylosus--GCA_002732165.1_CCM_2738,1,1,1,
Saureus--GCA_008620175.1_Saureus_KUH180129,2,1,1,1
Saureus--GCA_900324405.1_Saureus_21_LA_436,2,1,1,1
Saureus--GCA_001717665.2_Saureus_2148.N,2,1,1,1
Saureus--GCA_001549675.1_Saureus_TMUS2134,2,1,1,1
Saureus--GCA_008619935.1_Saureus_KUH180038,2,1,1,1
Saureus--GCA_000011505.1_Saureus_MRSA252,2,1,1,1
Saureus--GCA_008330585.1_Saureus_CFSAN082783,2,1,1,1
Sxylosus--GCA_900240095.1_ATCC_29971,1,1,1,
Saureus--GCA_002209325.1_Saureus_FORC_045,2,1,1,1
Saureus--GCA_003030225.1_Saureus_CFSAN018750,2,1,1,1
Saureus--GCA_002355355.1_Saureus_OC8,2,1,1,1
Saureus--GCA_003031425.1_Saureus_CFSAN007896,2,1,1,1
Saureus--GCA_900474725.1_Saureus_NCTC13140,2,1,1,1
Saureus--GCA_002000625.1_Saureus_USA300-SUR12,2,1,1,1
Saureus--GCA_003432345.1_Saureus_NX-T55,2,1,1,1
Saureus--GCA_002633805.1_Saureus_CFSAN007850,2,1,1,1
Saureus--GCA_001046095.2_Saureus_V2200,2,1,1,1
Saureus--GCA_001019305.2_Saureus_NRS70,2,1,1,1
Scarnosus--GCA_003970565.1_DSM_20501,1,2,1,
Saureus--GCA_003073635.1_Saureus_AR466,2,1,1,1
Sxylosus--GCA_003579155.1_SNUC_4554,1,1,1,
Saureus--GCA_008620055.1_Saureus_KUH180062,2,1,1,1
Saureus--GCA_900475245.1_Saureus_NCTC8325,2,1,1,1
Saureus--GCA_003111745.1_Saureus_PTDrAP2,2,1,1,1
Saureus--GCA_000815085.1_Saureus_31b_MRSA,2,1,1,1
Saureus--GCA_003193685.1_Saureus_AR_0223,2,1,1,1
Saureus--GCA_003186105.1_Saureus_MOK063,2,1,1,1
Saureus--GCA_001444345.1_Saureus_XQ,2,1,1,1
Saureus--GCA_900474735.1_Saureus_NCTC13395,2,1,1,1
Saureus--GCA_003186125.1_Saureus_MOK042,2,1,1,1
Saureus--GCA_900324295.1_Saureus_16_LA_309,2,1,1,1
Sepidermidis--GCA_000007645.1_ATCC_12228,1,1,1,
Saureus--GCA_000012045.1_Saureus_COL,2,1,1,1
Saureus--GCA_001019485.2_Saureus_NRS120,2,1,1,1
Saureus--GCA_900474695.1_Saureus_NCTC5663,2,1,1,1
Saureus--GCA_007726465.1_Saureus_B2-7A,2,1,1,1
Saureus--GCA_000009005.1_Saureus_RF122,2,1,1,1
Saureus--GCA_003342735.1_Saureus_E16SA093,2,1,1,1
Sepidermidis--GCA_902509525.1_none,1,1,1,
Saureus--GCA_001717725.2_Saureus_1625.C01,2,1,1,1
Saureus--GCA_007726525.1_Saureus_B4-59C,2,1,1,1
Saureus--GCA_005707215.1_Saureus_Lr12,2,1,1,1
Saureus--GCA_900324275.1_Saureus_6_LA_232,2,1,1,1
Saureus--GCA_002204575.1_Saureus_ISU926,2,1,1,1
Sxylosus--GCA_001748025.1_733A,1,1,1,
Saureus--GCA_003354665.1_Saureus_165,2,1,1,1
Saureus--GCA_000016805.1_Saureus_JH9,2,1,1,1
