strain,lcl_NC_009641.1_prot_WP_000977774.1_49,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_227,lcl_NC_009641.1_prot_WP_000142049.1_249,lcl_NC_009641.1_prot_WP_000208414.1_250,lcl_NC_009641.1_prot_WP_000337827.1_288,lcl_NC_009641.1_prot_WP_000392183.1_289,lcl_NC_009641.1_prot_WP_000066021.1_298,lcl_NC_009641.1_prot_WP_000291089.1_299,lcl_NC_009641.1_prot_WP_000815401.1_300,lcl_NC_009641.1_prot_WP_000134097.1_301,lcl_NC_009641.1_prot_WP_000704705.1_302,lcl_NC_009641.1_prot_WP_001199439.1_303,lcl_NC_009641.1_prot_WP_000371250.1_304,lcl_NC_009641.1_prot_WP_000190223.1_305,lcl_NC_009641.1_prot_WP_000803062.1_306,lcl_NC_009641.1_prot_WP_000256597.1_307,lcl_NC_009641.1_prot_WP_001123684.1_308,lcl_NC_009641.1_prot_WP_000401950.1_309,lcl_NC_009641.1_prot_WP_001187264.1_310,lcl_NC_009641.1_prot_WP_000117792.1_311,lcl_NC_009641.1_prot_WP_000022735.1_312,lcl_NC_009641.1_prot_WP_012068339.1_313,lcl_NC_009641.1_prot_WP_000695747.1_314,lcl_NC_009641.1_prot_WP_000983954.1_315,lcl_NC_009641.1_prot_WP_000982708.1_316,lcl_NC_009641.1_prot_WP_001105621.1_317,lcl_NC_009641.1_prot_WP_001065083.1_318,lcl_NC_009641.1_prot_WP_000185669.1_319,lcl_NC_009641.1_prot_WP_000195799.1_320,lcl_NC_009641.1_prot_WP_031765538.1_324,lcl_NC_009641.1_prot_WP_000595257.1_325,lcl_NC_009641.1_prot_WP_000323259.1_344,lcl_NC_009641.1_prot_WP_000634521.1_345,lcl_NC_009641.1_prot_WP_000705895.1_346,lcl_NC_009641.1_prot_WP_000782200.1_347,lcl_NC_009641.1_prot_WP_000466778.1_348,lcl_NC_009641.1_prot_WP_000524021.1_349,lcl_NC_009641.1_prot_WP_000276627.1_350,lcl_NC_009641.1_prot_WP_000398878.1_351,lcl_NC_009641.1_prot_WP_000339146.1_352,lcl_NC_009641.1_prot_WP_000930256.1_353,lcl_NC_009641.1_prot_354,lcl_NC_009641.1_prot_WP_000028628.1_448,lcl_NC_009641.1_prot_WP_014373780.1_470,lcl_NC_009641.1_prot_WP_000882085.1_631,lcl_NC_009641.1_prot_WP_000395457.1_1100,lcl_NC_009641.1_prot_WP_000291474.1_1103,lcl_NC_009641.1_prot_WP_000195823.1_1124,lcl_NC_009641.1_prot_WP_001125015.1_1125,lcl_NC_009641.1_prot_WP_000990005.1_1127,lcl_NC_009641.1_prot_WP_000162700.1_1128,lcl_NC_009641.1_prot_WP_001003272.1_1129,lcl_NC_009641.1_prot_WP_000169946.1_1130,lcl_NC_009641.1_prot_WP_000921879.1_1131,lcl_NC_009641.1_prot_WP_001133041.1_1132,lcl_NC_009641.1_prot_WP_000072207.1_1133,lcl_NC_009641.1_prot_WP_000354307.1_1134,lcl_NC_009641.1_prot_WP_000438504.1_1135,lcl_NC_009641.1_prot_WP_001114085.1_1136,lcl_NC_009641.1_prot_WP_000208960.1_1137,lcl_NC_009641.1_prot_WP_001268314.1_1138,lcl_NC_009641.1_prot_WP_001017815.1_1139,lcl_NC_009641.1_prot_WP_000188650.1_1140,lcl_NC_009641.1_prot_WP_000002578.1_1141,lcl_NC_009641.1_prot_WP_001100161.1_1142,lcl_NC_009641.1_prot_WP_000105584.1_1143,lcl_NC_009641.1_prot_WP_000141464.1_1144,lcl_NC_009641.1_prot_WP_000350684.1_1145,lcl_NC_009641.1_prot_WP_000156406.1_1146,lcl_NC_009641.1_prot_1228,lcl_NC_009641.1_prot_WP_001265708.1_1383,lcl_NC_009641.1_prot_1747,lcl_NC_009641.1_prot_WP_001038688.1_1875,lcl_NC_009641.1_prot_WP_000416756.1_1891,lcl_NC_009641.1_prot_WP_001808146.1_1935,lcl_NC_009641.1_prot_WP_001148638.1_2014,lcl_NC_009641.1_prot_WP_000672038.1_2898
GCA_000746505.1_Saureus_2395USA500,2,2,2,2,2,,,2,,1,,,1,,,,1,1,,1,,2,3,,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,4,1,2
GCA_007998145.1_Saureus_X22,2,2,1,,1,,,1,1,,,,,,1,1,,2,1,2,2,,3,,1,,1,3,,,,1,1,1,,,,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,11,,1
GCA_003432365.1_Saureus_QD-CD9,2,2,2,2,1,,,,1,1,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,1,,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,1
GCA_900324255.1_Saureus_2_LA_86,,2,,,2,,,1,,,,,,,,,,,1,1,1,,1,,1,,,2,,1,1,,,,,,1,,,,1,1,1,1,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_900324245.1_Saureus_8_LA_272,,2,,,2,,,2,1,,,,,,,,,1,1,1,1,2,2,,,1,,1,1,3,2,1,1,,1,1,1,,,,1,1,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_000382965.1_Saureus_ST228,2,2,,2,1,,,1,,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,8,,1
GCA_002633765.1_Saureus_CFSAN007835,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_009739695.1_Saureus_P2D1C1,2,2,,2,1,,,1,,,,,,,,,,,1,,,2,2,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,8,1,1
GCA_900474575.1_Saureus_NCTC9944,,2,1,1,,,,1,1,1,,,,1,,1,,2,2,2,,1,2,,,,,2,,,1,2,1,1,1,1,,,1,1,,,,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1
GCA_003595365.1_Saureus_USA300-SUR1,2,2,2,2,2,,,,,,,,,,,,,1,,1,,1,3,,,,,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_003354965.1_Saureus_546,2,2,2,2,2,,,1,,,,,,,,,1,1,1,1,1,2,2,,,,,2,,,,,,,,,2,,,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,1,2
GCA_005889995.1_Saureus_J01,1,2,2,2,2,1,1,1,1,1,,,,,,1,,1,,1,,1,3,,,,,2,,2,2,1,1,,,,1,1,1,1,1,1,1,2,,2,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_008244725.1_Saureus_NRS384-rpoB-H481N-NCV,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_000017125.1_Saureus_JH1,2,2,,2,1,2,1,3,1,1,,,,,,1,1,1,2,1,,2,4,,,,,4,,2,2,2,2,1,2,2,2,1,2,2,,,1,2,,1,,2,,,1,2,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,,8,1,1
GCA_900474565.1_Saureus_NCTC8726,,2,,,1,,,2,,,,,,,,,,,2,,,,2,,,,,2,,,,1,1,1,1,1,1,,1,1,,,,2,,1,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_900636335.1_Saureus_NCTC7988,,2,,1,2,,,1,1,1,,,,,,,,3,,2,1,,3,,,,,3,,1,,1,1,1,,1,1,1,,,1,1,,2,,1,1,,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,1,,1,1
GCA_000253135.1_Saureus_ECT-R2,2,2,,2,1,,,1,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,7,1,1
GCA_003354925.1_Saureus_135,2,2,3,2,2,,,1,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,1,,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,2
GCA_003111725.1_Saureus_SVH7513,2,2,2,2,2,,,1,,1,,,1,,,,1,1,,1,,2,2,,1,1,1,1,1,,1,,,,,,1,,,,1,1,1,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,,2
GCA_002786465.1_Saureus_EDCC5458,1,2,2,2,2,,,3,,,,,,,,1,1,1,2,1,,2,3,,1,2,,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,,2,,2,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,1,2,2,1,2
GCA_001019575.2_Saureus_HPV107,2,2,,2,1,1,1,3,,,,,1,,,,,1,,1,1,2,3,,,,,3,1,1,1,1,1,1,1,1,2,,1,1,2,1,,2,,1,,1,2,2,,,,,,,,,,,,,,,,,,,,,,2,,2,,7,1,1
GCA_001021895.1_Saureus_CA15,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_900635335.1_Saureus_NCTC11965,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_000772025.1_Saureus_FORC_001,,2,,,,,,1,,,,,,,,,1,1,,,,1,2,,,,,2,,,,,,,,,1,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_004208595.1_Saureus_592,1,2,,2,1,1,1,2,1,1,,,,,,1,1,1,1,1,,1,2,,,,,2,,1,,1,1,,1,1,1,1,1,1,,,,2,,1,,1,,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,6,,1
GCA_001717685.3_Saureus_1971.C01,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,2
GCA_001515705.1_Saureus_Gv88,,2,1,1,,,,2,1,1,,,,,1,,,2,,2,,3,3,,,,,2,1,1,,1,1,1,1,1,1,,1,1,1,1,,2,,1,1,,2,2,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,1,1,1
GCA_003185005.1_Saureus_IT4-R,,2,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
GCA_003354765.1_Saureus_191,2,2,,1,1,,,2,,,,,,,,,,1,1,,,2,2,,,,,2,,,,1,1,1,1,1,,,1,1,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,8,1,1
GCA_000470845.1_Saureus_SA957,,2,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCA_001019535.2_Saureus_Mw2,1,2,1,,1,,,2,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,1,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,1
GCA_000695215.1_Saureus_H-EMRSA-15,,2,,,,,,1,,,,,,,,,,,1,,,1,2,,1,,1,2,,,2,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_002952015.1_Saureus_K5,2,,2,2,1,,,,1,1,1,1,1,,,1,1,1,,1,,1,1,,1,,,,,,1,1,1,1,1,1,1,,,,,,,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,1
GCA_003029645.1_Saureus_CFSAN064038,,2,,,2,1,1,1,1,,,,1,,,1,1,1,2,1,,1,3,,,,,3,1,2,3,1,1,1,1,1,2,,1,1,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_000412775.1_Saureus_CA-347,,2,,,1,,,2,1,,,,,,,,,,,,1,,2,,,,,2,1,2,2,1,1,,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_001465675.1_Saureus_RIVM1607,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_000011505.1_Saureus_MRSA252,,2,,,,,,1,,,,,,,,,,,,,,1,1,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_009176785.1_Saureus_KG-18,2,2,,2,1,,,2,1,1,1,1,1,1,,1,1,1,1,,,2,3,,,,,3,1,1,1,1,1,1,1,1,2,,1,1,1,1,,2,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,12,1,1
GCA_000204665.1_Saureus_T0131,,2,1,1,,,,1,,,,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,3,1,1
GCA_004772055.1_Saureus_O331,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
GCA_008693765.1_Saureus_FDAARGOS_660,,2,,,1,,,1,,,,,,,,,,,1,,,1,2,,1,1,1,2,1,2,,,,,,,1,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCF_000160335.2_ASM16033v2,,2,,1,,,,1,1,1,,1,2,1,1,2,,2,,2,,,2,,1,,,2,,1,1,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,2,1
GCA_000737615.1_Saureus_SA268,,2,,,,,,,,,,,,1,1,2,1,2,,,,,2,,,,,2,,,,1,1,1,1,1,1,,1,1,1,1,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2
GCA_008620175.1_Saureus_KUH180129,2,2,,1,,1,1,2,,1,1,1,1,1,,1,1,,2,1,1,2,3,,,,,2,,1,,1,1,,1,1,2,1,1,1,1,1,,2,,1,,1,,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,6,,1
GCA_003354685.1_Saureus_277,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_001618305.1_Saureus_RIVM6519,2,2,,1,1,1,1,2,1,1,,,,,,,1,1,,,,,2,,,,,2,1,2,2,1,1,,1,1,,,1,1,,,,2,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,2,,2,,8,2,1
GCA_001611385.1_Saureus_ST20130943,2,2,2,,1,,,1,,,,1,1,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,1
GCA_003432345.1_Saureus_NX-T55,2,2,2,2,1,,,,1,1,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,1,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1
GCA_005931015.1_Saureus_GD487,,2,,,2,1,,1,,,,,,,,1,,1,1,,,,2,,,,,1,1,2,2,1,1,1,1,1,,,1,1,,,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,1
GCA_002633805.1_Saureus_CFSAN007850,1,2,,2,1,,,2,1,,,,,,,,,,1,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,,1,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,8,1,1
GCA_900474665.1_Saureus_NCTC9752,,2,1,,2,,,1,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,4,,2
GCA_004771975.1_Saureus_O408,,2,,1,1,,,,1,,,,,,,1,,1,,,,1,2,,,,,2,,1,,,,,,,1,,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_003194005.1_Saureus_AR_0469,2,2,,1,,1,1,2,2,2,,,1,,,2,2,2,1,2,,,2,1,,,,2,,1,1,2,2,,2,2,2,2,2,2,,,,2,,1,1,,,,1,2,1,1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,,2,,6,1,1
GCA_000815205.1_Saureus_25b_MRSA,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_007185035.1_Saureus_JRA307,1,2,1,,1,1,1,2,1,1,,,1,,,1,2,2,2,2,,2,3,,,,,2,,2,1,1,1,1,1,1,2,1,1,1,,,1,2,,2,1,,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,2,,,1
GCA_000027045.1_Saureus_TW20,,2,1,1,,1,1,2,1,,,,,,,,,,2,,,2,2,,,1,1,1,2,2,1,1,1,1,1,1,,,1,1,,,1,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,1
GCA_000485885.1_Saureus_Z172,,2,1,,,,,2,1,,,,,,,,,1,1,1,,2,2,,,1,2,1,2,1,1,1,1,1,1,1,,,1,1,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,1,1
GCA_900324305.1_Saureus_13_LA_301,,2,,,2,,,1,,,,,,,,,,,,1,1,,1,,1,,,2,1,2,2,,,,,,1,,,,1,1,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_900323905.1_Saureus_24117-WT,2,2,3,2,2,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,1,,,,,1,,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,2
GCA_005890015.1_Saureus_JKD6004,,2,1,1,,,,1,,,,,,,,,,1,1,1,,,2,,,1,1,1,1,1,,1,1,1,1,1,,,1,1,,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,1
GCA_003855575.1_Saureus_80wphwpl_v1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1
GCA_003264815.1_Saureus_CMRSA-6,,2,1,1,,1,1,2,1,,,,,,,,,,2,,,2,2,,,1,1,1,2,2,1,1,1,1,1,1,,,1,1,,,1,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,,1
GCA_001717705.2_Saureus_1969.N,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1,2
GCA_003945405.1_Saureus_TUM9458,,2,,2,1,,,2,1,1,1,1,1,1,,1,1,1,3,1,1,2,4,,,,,3,1,2,,1,2,2,2,2,2,1,2,2,1,1,1,1,,1,1,2,,,2,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,10,1,1
GCA_002386245.1_Saureus_FDAARGOS_412,2,2,2,2,2,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_003354945.1_Saureus_545,2,2,2,2,2,,,2,,,,,,,,1,2,2,1,2,1,2,3,,,,,3,,,,1,1,1,1,1,2,,1,1,2,2,,2,,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,1,2
GCA_009739845.1_Saureus_P1D1C1,2,2,,2,1,,,1,,,,,,,,,,,1,,,2,2,,,,,2,,1,1,,,,,,1,,,,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,7,1,1
GCA_001027105.1_Saureus_DSM20231,2,2,2,2,2,,,1,1,,,,,,,1,1,1,,1,,,1,,,,,1,,,,1,1,1,1,1,1,1,1,1,,,,2,,2,,,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,1,,2
GCA_003595445.1_Saureus_USA300-SUR5,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,1,2,2,1,2
GCA_001019255.2_Saureus_FDAARGOS_1,1,2,,2,1,1,1,1,2,2,,,,,,2,1,2,,2,,1,3,,1,,,3,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,,1,,1,,,1,1,,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,2,,2,,3,1,1
GCA_002355355.1_Saureus_OC8,2,2,2,2,2,1,1,2,1,,,1,1,,1,1,,1,1,,,1,3,,,1,,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,,2,,2,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_900323925.1_Saureus_1549-WT,,2,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1
GCA_003354665.1_Saureus_165,2,2,2,2,2,,,1,,,,,,,,,1,1,1,1,1,2,2,,,,,2,,,,,,,,,2,,,,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,1,2
GCA_900635905.1_Saureus_NCTC13616,,2,,,,,,1,,,,,,,,,,,1,,,1,2,,1,,1,2,,,2,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
GCA_004193875.1_Saureus_C3948,2,2,2,2,2,,,2,,,,,,,,,,,1,,,1,2,,,1,,1,1,1,,,,,,,1,,,,1,1,,2,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_009728755.1_Saureus_ST20130944,,2,,,,,,1,1,,1,1,1,,,1,,1,,,,,2,,,,,2,,1,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,1
GCA_003073415.1_Saureus_CAR,2,2,2,2,2,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,1,,,,1,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,,2
GCA_001548415.1_Saureus_MI,2,2,,2,1,1,1,2,1,1,,,,,,1,1,1,,1,1,2,3,,,,,3,1,2,1,1,1,,1,1,2,1,1,1,1,1,1,2,,1,,1,,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,2,,6,1,1
GCA_003425885.1_Saureus_82,2,2,2,2,1,,,1,,,,,,,,,,,1,,,1,2,,,,,2,1,1,1,,,,,,1,,,,1,1,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,1,1,2
GCA_003490125.1_Saureus_O17,,2,,1,2,,,,,,,,,,,,,2,,1,,,2,,,,,2,,,,,,,,,1,,,,1,1,,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,,1
GCA_005705635.1_Saureus_R46,2,2,2,2,2,,,1,,,,,,,,,,,,1,1,1,2,,,,,1,1,1,2,,,,,,1,,,,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,2
GCA_008370815.1_Saureus_16445,2,3,2,2,2,,,3,2,,,,,,,2,2,2,1,2,,1,4,,,1,,3,1,4,1,,2,2,2,2,1,1,1,1,1,1,1,2,,2,2,,,,2,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,2,2
GCA_900635285.1_Saureus_NCTC7121,2,2,2,,2,,,1,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,4,,2
GCA_900474695.1_Saureus_NCTC5663,,2,,,2,,,1,1,1,,1,1,,,,,2,,1,1,2,2,,,,,2,2,1,,1,1,1,1,1,,1,,,,,1,2,,2,,,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,1,2,1,,1
GCA_000815245.1_Saureus_27b_MRSA,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_002000765.1_Saureus_USA300-SUR19,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,2
GCA_001515685.1_Saureus_Be62,,2,1,,,,,2,1,1,,,,,2,1,,2,,1,,3,3,,,,,2,1,1,,1,1,1,1,1,1,,1,1,1,1,,2,,1,1,,2,2,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,1,1
GCA_001018805.2_Saureus_FDAARGOS_15,2,2,2,2,2,,,1,,,,,,,,,,2,,2,,,2,,,,2,2,,,,2,2,2,2,2,,1,2,2,,,1,2,,2,1,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,2,2,2,2,2
GCA_002850395.1_Saureus_K17,2,,2,2,1,,,,1,1,1,1,1,,,1,1,1,,1,,1,1,,1,,,,,,1,1,1,1,1,1,1,,,,,,,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,1
GCA_000815165.1_Saureus_26b_MRSA,2,2,2,2,2,,,,,,,,,,,,,,,,,1,2,,,,,1,1,2,2,,,,,,1,,,,1,1,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2
GCA_900620225.1_Saureus_BPH2819,2,2,,2,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,9,,1
GCA_002000605.1_Saureus_USA300-SUR11,2,2,2,2,2,,,1,,,,,1,,,1,,1,1,1,,1,3,,1,,,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,,2,,2,,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,2,3,1,2,2,1,2
