locus_tag,origin,strand,start,end,gene,pseudo,prot_id,prot_name,annot
NWMN_RS13670,NC_009641.1,-,2610880,2611299,n.a,false,WP_000038231.1,"DUF1433 domain_containing protein","n.a"
NWMN_RS09590,NC_009641.1,-,1904645,1904863,n.a,false,WP_001790219.1,"hypothetical protein","n.a"
NWMN_RS07855,NC_009641.1,+,1560575,1560823,n.a,false,WP_001151997.1,"ferredoxin","n.a"
NWMN_RS10460,NC_009641.1,+,2027873,2029090,n.a,false,WP_000037075.1,"YihY/virulence factor BrkB family protein","n.a"
NWMN_RS10920,NC_009641.1,-,2111283,2112470,n.a,false,WP_000025274.1,"phage portal protein","n.a"
NWMN_RS05945,NC_009641.1,-,1155367,1156305,n.a,false,WP_001284258.1,"ribonuclease HIII","n.a"
NWMN_RS10335,NC_009641.1,-,2011562,2011783,n.a,false,WP_001123684.1,"DUF3269 family protein","n.a"
NWMN_RS04275,NC_009641.1,+,848964,849494,n.a,false,WP_001167174.1,"N_acetyltransferase","n.a"
NWMN_RS01320,NC_009641.1,+,295527,296027,n.a,false,WP_000141982.1,"TIGR01741 family protein","n.a"
NWMN_RS15745,NC_009641.1,+,1889647,1889742,pepA1,false,WP_001801861.1,"type I toxin_antitoxin system Fst family toxin PepA1","n.a"
NWMN_RS14290,NC_009641.1,-,2735645,2736367,n.a,false,WP_000606210.1,"epoxyqueuosine reductase QueH","n.a"
NWMN_RS03250,NC_009641.1,+,649924,650553,n.a,false,WP_000923036.1,"DUF443 domain_containing protein","n.a"
NWMN_RS03730,NC_009641.1,+,739399,739686,n.a,false,WP_000180419.1,"hypothetical protein","n.a"
NWMN_RS12355,NC_009641.1,-,2368794,2369192,rpsH,false,WP_000178881.1,"30S ribosomal protein S8","n.a"
NWMN_RS15620,NC_009641.1,-,2720658,2720786,n.a,false,WP_001791985.1,"hypothetical protein","n.a"
NWMN_RS04070,NC_009641.1,+,806184,806858,n.a,false,WP_001057965.1,"ComF family protein","n.a"
NWMN_RS06945,NC_009641.1,+,1353659,1353856,n.a,false,WP_000435068.1,"hypothetical protein","n.a"
NWMN_RS14850,NC_009641.1,-,2857631,2857969,n.a,false,WP_000116417.1,"PadR family transcriptional regulator","n.a"
NWMN_RS11980,NC_009641.1,-,2302546,2303610,n.a,false,WP_000958531.1,"P_loop NTPase","n.a"
NWMN_RS08145,NC_009641.1,-,1613623,1614120,n.a,false,WP_001789864.1,"prepilin_type N_terminal cleavage/methylation domain_containing protein","n.a"
NWMN_RS15455,NC_009641.1,-,,2074654,n.a,true,n.a,"transposase","n.a"
NWMN_RS12240,NC_009641.1,-,2354320,2355063,n.a,false,WP_000365049.1,"hypothetical protein","n.a"
NWMN_RS08715,NC_009641.1,-,1719531,1720187,n.a,false,WP_011443640.1,"JAB domain_containing protein","n.a"
NWMN_RS11665,NC_009641.1,-,2235238,2235762,n.a,false,WP_000654185.1,"TIGR01440 family protein","n.a"
NWMN_RS00735,NC_009641.1,-,166640,168685,n.a,false,WP_001227724.1,"PTS glucose EIICBA component","n.a"
NWMN_RS04775,NC_009641.1,+,944196,944837,n.a,false,WP_000404422.1,"L_threonylcarbamoyladenylate synthase","n.a"
NWMN_RS07125,NC_009641.1,+,1390001,1390468,n.a,false,WP_000640487.1,"acyl_CoA thioesterase","n.a"
NWMN_RS02540,NC_009641.1,+,510014,510631,n.a,false,WP_001272126.1,"dTMP kinase","n.a"
NWMN_RS11200,NC_009641.1,+,2149769,2150554,n.a,false,WP_000867960.1,"carbon_nitrogen family hydrolase","n.a"
NWMN_RS12830,NC_009641.1,+,2446403,2447167,n.a,false,WP_000477992.1,"MurR/RpiR family transcriptional regulator","n.a"
NWMN_RS10105,NC_009641.1,-,1979053,1979568,n.a,false,WP_000163283.1,"type 1 glutamine amidotransferase","n.a"
NWMN_RS01510,NC_009641.1,+,326841,327101,n.a,false,WP_000291089.1,"DUF1108 family protein","n.a"
NWMN_RS12450,NC_009641.1,-,2380413,2380508,n.a,false,WP_001790553.1,"hypothetical protein","n.a"
NWMN_RS01705,NC_009641.1,+,345659,346216,n.a,false,WP_000057582.1,"tail protein","n.a"
NWMN_RS00550,NC_009641.1,+,121626,123449,n.a,false,WP_000940792.1,"polysaccharide biosynthesis protein","n.a"
NWMN_RS10690,NC_009641.1,+,2074027,2074428,n.a,false,WP_000205106.1,"YolD_like family protein","n.a"
NWMN_RS15270,NC_009641.1,+,1009664,1009768,n.a,false,WP_001791731.1,"hypothetical protein","n.a"
NWMN_RS14370,NC_009641.1,-,2750223,2751719,mqo,false,WP_001130051.1,"malate dehydrogenase (quinone)","n.a"
NWMN_RS01590,NC_009641.1,+,334227,334421,n.a,false,WP_000983954.1,"hypothetical protein","n.a"
NWMN_RS08470,NC_009641.1,-,1670844,1672073,n.a,false,WP_000533238.1,"divalent metal cation transporter","n.a"
NWMN_RS13005,NC_009641.1,-,2481279,2481734,n.a,false,WP_000238542.1,"MarR family transcriptional regulator","n.a"
NWMN_RS06970,NC_009641.1,+,1358270,1358872,n.a,false,WP_000202390.1,"response regulator transcription factor","n.a"
NWMN_RS07455,NC_009641.1,-,1455873,1457141,sucB,false,WP_001115440.1,"dihydrolipoyllysine_residue succinyltransferase","n.a"
NWMN_RS03105,NC_009641.1,+,626129,626494,n.a,false,WP_001165058.1,"protein VraC","n.a"
NWMN_RS10025,NC_009641.1,-,1963955,1964401,perR,false,WP_000110011.1,"peroxide_responsive transcriptional repressor PerR","n.a"
NWMN_RS00100,NC_009641.1,+,24932,25633,n.a,false,WP_000101976.1,"response regulator transcription factor","n.a"
NWMN_RS12030,NC_009641.1,-,2313202,2314233,n.a,false,WP_000974906.1,"iron ABC transporter permease","n.a"
NWMN_RS06455,NC_009641.1,+,1252729,1256295,smc,false,WP_000262704.1,"chromosome segregation protein SMC","n.a"
NWMN_RS13075,NC_009641.1,+,2496237,2497241,n.a,false,WP_000573242.1,"oxidoreductase","n.a"
NWMN_RS04230,NC_009641.1,+,841346,842086,n.a,false,WP_001165952.1,"prolyl oligopeptidase family serine peptidase","n.a"
NWMN_RS02875,NC_009641.1,+,567611,569011,n.a,false,WP_000631963.1,"cysteine__tRNA ligase","n.a"
NWMN_RS08305,NC_009641.1,-,1640719,1641666,n.a,false,WP_001117767.1,"PhoH family protein","n.a"
NWMN_RS04945,NC_009641.1,+,979207,980775,n.a,false,WP_000570699.1,"alanine:cation symporter family protein","n.a"
NWMN_RS11095,NC_009641.1,+,2129834,2130175,n.a,false,WP_000591749.1,"hypothetical protein","n.a"
NWMN_RS04465,NC_009641.1,+,880133,880270,n.a,false,WP_001790198.1,"chorismate mutase","n.a"
NWMN_RS13635,NC_009641.1,-,2603723,2604541,cntL,false,WP_001058843.1,"D_histidine (S)_2_aminobutanoyltransferase CntL","n.a"
NWMN_RS03465,NC_009641.1,+,689079,690182,n.a,false,WP_001101603.1,"CDP_glycerol glycerophosphotransferase family protein","n.a"
NWMN_RS11145,NC_009641.1,+,2139442,2140749,n.a,false,WP_001045079.1,"TrkH family potassium uptake protein","n.a"
NWMN_RS02130,NC_009641.1,-,424342,425004,n.a,false,WP_000394698.1,"hypothetical protein","n.a"
NWMN_RS12020,NC_009641.1,-,2310631,2312001,n.a,false,WP_001813694.1,"YjiH family protein","n.a"
NWMN_RS08060,NC_009641.1,-,1599724,1599954,n.a,false,WP_000159865.1,"exodeoxyribonuclease VII small subunit","n.a"
NWMN_RS13255,NC_009641.1,-,2533123,2534718,adcA,false,WP_000727761.1,"zinc ABC transporter substrate_binding lipoprotein AdcA","n.a"
NWMN_RS03570,NC_009641.1,+,709376,710050,n.a,false,WP_001166505.1,"response regulator transcription factor","n.a"
NWMN_RS04040,NC_009641.1,-,799524,800285,n.a,false,WP_001113406.1,"threonine/serine exporter ThrE family protein","n.a"
NWMN_RS08515,NC_009641.1,-,1679131,1680054,n.a,false,WP_000137775.1,"U32 family peptidase","n.a"
NWMN_RS00200,NC_009641.1,+,44229,44525,n.a,false,WP_000201640.1,"TfoX/Sxy family protein","n.a"
NWMN_RS06120,NC_009641.1,+,1183767,1185272,n.a,false,WP_001823392.1,"YfcC family protein","n.a"
NWMN_RS09620,NC_009641.1,-,1909764,1910282,n.a,false,WP_000504439.1,"enterotoxin","n.a"
NWMN_RS04730,NC_009641.1,+,932451,933353,n.a,false,WP_000670752.1,"fumarylacetoacetate hydrolase family protein","n.a"
NWMN_RS12990,NC_009641.1,-,2479498,2479626,n.a,false,WP_001790052.1,"hypothetical protein","n.a"
NWMN_RS12150,NC_009641.1,-,2337623,2338414,n.a,false,WP_001793365.1,"DeoR/GlpR transcriptional regulator","n.a"
NWMN_RS11135,NC_009641.1,-,2137463,2138308,n.a,false,WP_000812008.1,"class I SAM_dependent methyltransferase","n.a"
NWMN_RS07410,NC_009641.1,+,1447002,1447631,n.a,false,WP_001788788.1,"5_bromo_4_chloroindolyl phosphate hydrolysis protein","n.a"
NWMN_RS05550,NC_009641.1,+,1097971,1098528,n.a,false,WP_000872158.1,"DUF177 domain_containing protein","n.a"
NWMN_RS09260,NC_009641.1,-,1845324,1845635,n.a,false,WP_000836465.1,"rhodanese_like domain_containing protein","n.a"
NWMN_RS14825,NC_009641.1,+,2853130,2853645,n.a,false,WP_000181129.1,"polyisoprenoid_binding protein","n.a"
NWMN_RS14530,NC_009641.1,-,2779576,2780337,n.a,false,WP_000323455.1,"esterase family protein","n.a"
NWMN_RS13835,NC_009641.1,-,2648049,2648465,n.a,false,WP_001117054.1,"DUF2188 domain_containing protein","n.a"
NWMN_RS14690,NC_009641.1,-,2827845,2828321,n.a,false,WP_000301926.1,"peptide_methionine (S)_S_oxide reductase","n.a"
NWMN_RS01760,NC_009641.1,+,357882,359780,n.a,false,WP_000524021.1,"CHAP domain_containing protein","n.a"
NWMN_RS09525,NC_009641.1,+,1889865,1889966,n.a,false,WP_001791893.1,"hypothetical protein","n.a"
NWMN_RS06825,NC_009641.1,+,1339639,1340877,hflX,false,WP_000068630.1,"GTPase HflX","n.a"
NWMN_RS05760,NC_009641.1,+,1118746,1119741,n.a,false,WP_001133041.1,"phage head morphogenesis protein","n.a"
NWMN_RS07380,NC_009641.1,+,1443769,1445034,lysA,false,WP_000216936.1,"diaminopimelate decarboxylase","n.a"
NWMN_RS01865,NC_009641.1,+,378507,378947,n.a,false,WP_000335332.1,"hypothetical protein","n.a"
NWMN_RS03495,NC_009641.1,+,697104,697196,n.a,false,WP_001788321.1,"hypothetical protein","n.a"
NWMN_RS15815,NC_009641.1,-,2872655,2872837,n.a,false,WP_086034155.1,"hypothetical protein","n.a"
NWMN_RS00585,NC_009641.1,+,129633,130838,n.a,false,WP_001085819.1,"capsular polysaccharide biosynthesis protein","n.a"
NWMN_RS09750,NC_009641.1,+,1929674,1930096,n.a,false,WP_000004981.1,"HIT family protein","n.a"
NWMN_RS11405,NC_009641.1,-,2190801,2191127,n.a,false,WP_001052491.1,"anti_sigma factor antagonist","n.a"
NWMN_RS10750,NC_009641.1,-,2083279,2083455,n.a,false,WP_000681968.1,"hypothetical protein","n.a"
NWMN_RS00760,NC_009641.1,-,173760,174041,n.a,false,WP_001550030.1,"hypothetical protein","n.a"
NWMN_RS15135,NC_009641.1,+,502093,502305,n.a,false,WP_071621347.1,"hypothetical protein","n.a"
NWMN_RS10410,NC_009641.1,+,2020253,2020891,n.a,false,WP_000874708.1,"LexA family transcriptional regulator","n.a"
NWMN_RS14595,NC_009641.1,+,2795654,2797606,n.a,false,WP_000706113.1,"PTS transporter subunit EIIA","n.a"
NWMN_RS12550,NC_009641.1,-,2395659,2396105,n.a,false,WP_000808500.1,"molybdenum cofactor biosynthesis protein MoaE","n.a"
NWMN_RS04315,NC_009641.1,-,858843,859127,n.a,false,WP_001004395.1,"hypothetical protein","n.a"
NWMN_RS02095,NC_009641.1,-,417095,417388,n.a,false,WP_001795623.1,"hypothetical protein","n.a"
NWMN_RS14700,NC_009641.1,-,2829059,2829826,n.a,false,WP_000565310.1,"tyrosine_protein phosphatase","n.a"
NWMN_RS12580,NC_009641.1,-,2400130,2400735,n.a,false,WP_000913019.1,"ATP_binding cassette domain_containing protein","n.a"
NWMN_RS13920,NC_009641.1,-,2664520,2665191,n.a,false,WP_000069101.1,"NAD(P)H_dependent oxidoreductase","n.a"
NWMN_RS13040,NC_009641.1,+,2488027,2488470,n.a,false,WP_000977037.1,"response regulator transcription factor","n.a"
NWMN_RS11585,NC_009641.1,-,2222453,2222893,fabZ,false,WP_000447678.1,"3_hydroxyacyl_ACP dehydratase FabZ","n.a"
NWMN_RS11435,NC_009641.1,-,2194426,2194785,n.a,false,WP_000581200.1,"holo_ACP synthase","n.a"
NWMN_RS05980,NC_009641.1,+,1162417,1164198,uvrC,false,WP_000390529.1,"excinuclease ABC subunit UvrC","n.a"
NWMN_RS09425,NC_009641.1,-,1874408,1875601,n.a,false,WP_000933822.1,"methionine adenosyltransferase","n.a"
NWMN_RS04000,NC_009641.1,-,792662,792976,n.a,false,WP_001127269.1,"hypothetical protein","n.a"
NWMN_RS02680,NC_009641.1,+,533882,534145,n.a,false,WP_001234988.1,"RNA_binding S4 domain_containing protein","n.a"
NWMN_RS10240,NC_009641.1,-,2003389,2004924,n.a,false,WP_000921879.1,"phage portal protein","n.a"
NWMN_RS06350,NC_009641.1,-,1233094,1233372,n.a,false,WP_001548522.1,"TM2 domain_containing protein","n.a"
NWMN_RS03145,NC_009641.1,-,631940,632392,n.a,false,WP_000498572.1,"threonine/serine exporter family protein","n.a"
NWMN_RS02140,NC_009641.1,+,426067,426645,xpt,false,WP_000421410.1,"xanthine phosphoribosyltransferase","n.a"
NWMN_RS06700,NC_009641.1,+,1311977,1312681,n.a,false,WP_000646227.1,"SDR family NAD(P)_dependent oxidoreductase","n.a"
NWMN_RS10190,NC_009641.1,-,1998116,1998697,n.a,false,WP_000002577.1,"phage major tail protein; TP901_1 family","n.a"
NWMN_RS02385,NC_009641.1,+,473298,474032,n.a,false,WP_001220813.1,"alpha/beta fold hydrolase","n.a"
NWMN_RS14550,NC_009641.1,-,2785305,2786735,arcD,false,WP_001005842.1,"arginine_ornithine antiporter","n.a"
NWMN_RS03990,NC_009641.1,+,790437,791198,n.a,false,WP_000616842.1,"ABC transporter ATP_binding protein","n.a"
NWMN_RS12560,NC_009641.1,-,2396601,2397860,n.a,false,WP_000259718.1,"molybdopterin molybdotransferase MoeA","n.a"
NWMN_RS10755,NC_009641.1,-,2083698,2083796,n.a,false,WP_000990056.1,"hypothetical protein","n.a"
NWMN_RS02290,NC_009641.1,+,454844,455651,n.a,true,n.a,"tandem_type lipoprotein","n.a"
NWMN_RS04245,NC_009641.1,+,845752,846033,n.a,false,WP_001788408.1,"hypothetical protein","n.a"
NWMN_RS00440,NC_009641.1,+,100430,101155,sasD,false,WP_000731959.1,"cell_wall_anchored protein SasD","n.a"
NWMN_RS00610,NC_009641.1,+,134892,136037,n.a,false,WP_000723454.1,"UDP_N_acetylglucosamine 2_epimerase (non_hydrolyzing)","n.a"
NWMN_RS12665,NC_009641.1,-,2415214,2415561,sarR,false,WP_000036076.1,"HTH_type transcriptional regulator SarR","n.a"
NWMN_RS02690,NC_009641.1,+,534660,535061,n.a,false,WP_000021445.1,"RNA_binding protein S1","n.a"
NWMN_RS10950,NC_009641.1,-,2115793,2115942,n.a,false,WP_000595265.1,"transcriptional activator RinB","n.a"
NWMN_RS01935,NC_009641.1,+,391156,391359,n.a,false,WP_001246013.1,"helix_turn_helix transcriptional regulator","n.a"
NWMN_RS07140,NC_009641.1,+,1392161,1394152,parE,false,WP_001548666.1,"DNA topoisomerase IV subunit B","n.a"
NWMN_RS12160,NC_009641.1,+,2339397,2339558,n.a,false,WP_001791678.1,"hypothetical protein","n.a"
NWMN_RS15025,NC_009641.1,-,42380,42581,n.a,true,n.a,"hypothetical protein","n.a"
NWMN_RS14920,NC_009641.1,+,2870583,2870783,n.a,false,WP_001059079.1,"cold_shock protein","n.a"
NWMN_RS13775,NC_009641.1,-,2627840,2632339,n.a,false,WP_001205095.1,"YSIRK_type signal peptide_containing protein","n.a"
NWMN_RS05200,NC_009641.1,-,1030251,1032239,qoxB,false,WP_001010762.1,"cytochrome aa3 quinol oxidase subunit I","n.a"
NWMN_RS04720,NC_009641.1,+,925155,928631,addB,false,WP_000172345.1,"helicase_exonuclease AddAB subunit AddB","n.a"
NWMN_RS03715,NC_009641.1,-,736757,737200,n.a,false,WP_001283444.1,"MarR family transcriptional regulator","n.a"
NWMN_RS13950,NC_009641.1,+,2670169,2670660,n.a,false,WP_000621927.1,"N_acetyltransferase","n.a"
NWMN_RS11525,NC_009641.1,+,2214547,2215194,n.a,false,WP_001187629.1,"HD domain_containing protein","n.a"
NWMN_RS11115,NC_009641.1,+,,2133102,sph,true,n.a,"sphingomyelin phosphodiesterase","n.a"
NWMN_RS05630,NC_009641.1,+,1106357,1106908,n.a,false,WP_000704705.1,"single_stranded DNA_binding protein","n.a"
NWMN_RS01550,NC_009641.1,+,331958,332116,n.a,false,WP_000256597.1,"hypothetical protein","n.a"
NWMN_RS09375,NC_009641.1,-,1866187,1866630,n.a,false,WP_001030465.1,"hypothetical protein","n.a"
NWMN_RS03630,NC_009641.1,+,723445,723561,n.a,false,WP_001789973.1,"hypothetical protein","n.a"
NWMN_RS01740,NC_009641.1,+,355029,356852,n.a,false,WP_000634521.1,"phage baseplate upper protein","n.a"
NWMN_RS04145,NC_009641.1,+,823720,824655,trxB,false,WP_000134963.1,"thioredoxin_disulfide reductase","n.a"
NWMN_RS00380,NC_009641.1,+,90178,90942,sbnI,false,WP_001015549.1,"bifunctional transcriptional regulator/O_phospho_L_serine synthase SbnI","n.a"
NWMN_RS13250,NC_009641.1,-,2532516,2532983,n.a,false,WP_000153344.1,"glutathione S_transferase","n.a"
NWMN_RS05055,NC_009641.1,+,1002081,1002401,n.a,false,WP_000668623.1,"YxeA family protein","n.a"
NWMN_RS06905,NC_009641.1,+,1349903,1350169,n.a,false,WP_000903039.1,"hypothetical protein","n.a"
NWMN_RS13860,NC_009641.1,-,2653437,2654600,n.a,false,WP_000610884.1,"MFS transporter","n.a"
NWMN_RS06105,NC_009641.1,-,1180425,1181150,n.a,false,WP_000739523.1,"superantigen_like protein SSL14","n.a"
NWMN_RS06765,NC_009641.1,+,1325451,1325816,n.a,false,WP_000282388.1,"hypothetical protein","n.a"
NWMN_RS07490,NC_009641.1,-,1463666,1464736,n.a,false,WP_000160904.1,"undecaprenyldiphospho_muramoylpentapeptide beta_N_acetylglucosaminyltransferase","n.a"
NWMN_RS05415,NC_009641.1,+,1072229,1073026,n.a,false,WP_001246561.1,"ABC transporter permease","n.a"
NWMN_RS05325,NC_009641.1,+,1055101,1056819,ptsP,false,WP_000040054.1,"phosphoenolpyruvate__protein phosphotransferase","n.a"
NWMN_RS12775,NC_009641.1,-,2436664,2437401,sdpB,false,WP_000426696.1,"CPBP family intramembrane metalloprotease SdpB","n.a"
NWMN_RS09445,NC_009641.1,-,1879311,1879784,ytkD,false,WP_000672014.1,"nucleoside triphosphatase YtkD","n.a"
NWMN_RS00020,NC_009641.1,+,3919,5031,recF,false,WP_000775113.1,"DNA replication/repair protein RecF","n.a"
NWMN_RS00700,NC_009641.1,-,158711,159952,argJ,false,WP_000682611.1,"bifunctional glutamate N_acetyltransferase/amino_acid acetyltransferase ArgJ","n.a"
NWMN_RS08785,NC_009641.1,-,1733929,1734519,n.a,false,WP_000867697.1,"YihA family ribosome biogenesis GTP_binding protein","n.a"
NWMN_RS14335,NC_009641.1,-,2742848,2743552,budA,false,WP_000186119.1,"acetolactate decarboxylase","n.a"
NWMN_RS03400,NC_009641.1,+,675639,677135,n.a,false,WP_000950548.1,"Na+/H+ antiporter subunit D","n.a"
NWMN_RS09125,NC_009641.1,-,1807240,1808907,n.a,false,WP_000149404.1,"formate__tetrahydrofolate ligase","n.a"
NWMN_RS07590,NC_009641.1,-,1476047,1507543,ebh,true,n.a,"hyperosmolarity resistance protein Ebh","n.a"
NWMN_RS15175,NC_009641.1,-,650643,650825,n.a,false,WP_078061236.1,"hypothetical protein","n.a"
NWMN_RS11320,NC_009641.1,+,2172937,2173191,n.a,false,WP_000196911.1,"ACT domain_containing protein","n.a"
NWMN_RS12395,NC_009641.1,-,2371674,2372327,rpsC,false,WP_000529877.1,"30S ribosomal protein S3","n.a"
NWMN_RS03190,NC_009641.1,-,640618,641940,n.a,false,WP_000860581.1,"FAD_containing oxidoreductase","n.a"
NWMN_RS03055,NC_009641.1,-,616206,617084,n.a,false,WP_000134232.1,"GTP cyclohydrolase I FolE2","n.a"
NWMN_RS01020,NC_009641.1,+,235828,237087,n.a,false,WP_000120104.1,"PTS galactitol transporter subunit IIC","n.a"
NWMN_RS12910,NC_009641.1,-,2463390,2463716,n.a,false,WP_000966695.1,"YnfA family protein","n.a"
NWMN_RS09725,NC_009641.1,-,1925657,1926694,hemE,false,WP_000233526.1,"uroporphyrinogen decarboxylase","n.a"
NWMN_RS12605,NC_009641.1,-,2404304,2404858,n.a,false,WP_000208736.1,"biotin transporter BioY","n.a"
NWMN_RS10565,NC_009641.1,-,2046049,2047506,gatA,false,WP_000027928.1,"Asp_tRNA(Asn)/Glu_tRNA(Gln) amidotransferase subunit GatA","n.a"
NWMN_RS08710,NC_009641.1,-,1719179,1719463,n.a,false,WP_000171859.1,"hypothetical protein","n.a"
NWMN_RS03340,NC_009641.1,+,665338,666138,n.a,false,WP_000362967.1,"alpha/beta hydrolase","n.a"
NWMN_RS10995,NC_009641.1,-,2118735,2118953,n.a,false,WP_000338530.1,"hypothetical protein","n.a"
NWMN_RS03610,NC_009641.1,+,719319,721469,n.a,false,WP_001129754.1,"helix_turn_helix transcriptional regulator","n.a"
NWMN_RS01950,NC_009641.1,+,392936,393565,n.a,false,WP_000677714.1,"ABC_2 transporter permease","n.a"
NWMN_RS01675,NC_009641.1,+,342447,343031,n.a,false,WP_001019219.1,"DUF4355 domain_containing protein","n.a"
NWMN_RS06200,NC_009641.1,+,1198689,1200008,n.a,false,WP_000342185.1,"cell division protein DivIB","n.a"
NWMN_RS14000,NC_009641.1,-,2677527,2677937,n.a,false,WP_000206033.1,"acyl_CoA thioesterase","n.a"
NWMN_RS06645,NC_009641.1,+,1296368,1298485,infB,false,WP_000043634.1,"translation initiation factor IF_2","n.a"
NWMN_RS04570,NC_009641.1,+,895765,896088,n.a,false,WP_000401414.1,"YuzD family protein","n.a"
NWMN_RS06425,NC_009641.1,+,1248627,1249613,plsX,false,WP_000239744.1,"phosphate acyltransferase PlsX","n.a"
NWMN_RS15435,NC_009641.1,-,2018763,2018952,n.a,true,n.a,"helix_turn_helix transcriptional regulator","n.a"
NWMN_RS12720,NC_009641.1,+,2424981,2425238,n.a,false,WP_001791671.1,"hypothetical protein","n.a"
NWMN_RS04110,NC_009641.1,+,813930,814166,n.a,false,WP_000638419.1,"CsbA family protein","n.a"
NWMN_RS12795,NC_009641.1,+,2441142,2441498,n.a,false,WP_000917664.1,"hypothetical protein","n.a"
NWMN_RS02865,NC_009641.1,+,565103,566557,n.a,false,WP_001283793.1,"glutamate__tRNA ligase","n.a"
NWMN_RS15805,NC_009641.1,-,,2686607,n.a,true,n.a,"peptidase S8 and S53 subtilisin kexin sedolisin","n.a"
NWMN_RS02980,NC_009641.1,+,591512,592390,hchA,false,WP_000076403.1,"protein deglycase HchA","n.a"
NWMN_RS01385,NC_009641.1,+,304936,305985,n.a,false,WP_000477934.1,"FtsX_like permease family protein","n.a"
NWMN_RS05315,NC_009641.1,+,1054136,1054678,n.a,false,WP_000505965.1,"hypothetical protein","n.a"
NWMN_RS04300,NC_009641.1,+,856824,857510,n.a,false,WP_001548082.1,"thermonuclease family protein","n.a"
NWMN_RS00470,NC_009641.1,+,105175,106353,deoB,false,WP_000197806.1,"phosphopentomutase","n.a"
NWMN_RS04345,NC_009641.1,+,861472,862032,n.a,false,WP_001802951.1,"histidine phosphatase family protein","n.a"
NWMN_RS11895,NC_009641.1,+,2281347,2282453,n.a,false,WP_000648718.1,"mannitol_1_phosphate 5_dehydrogenase","n.a"
NWMN_RS04645,NC_009641.1,-,908336,910741,n.a,false,WP_000054609.1,"Na+/H+ antiporter subunit A","n.a"
NWMN_RS07865,NC_009641.1,-,1561753,1561872,n.a,false,WP_001789947.1,"hypothetical protein","n.a"
NWMN_RS10555,NC_009641.1,-,2044423,2044569,n.a,false,WP_001797372.1,"hypothetical protein","n.a"
NWMN_RS12125,NC_009641.1,-,2334034,2334345,n.a,false,WP_001078309.1,"PTS lactose/cellobiose transporter subunit IIA","n.a"
NWMN_RS03060,NC_009641.1,-,617097,617762,bshB2,false,WP_000129063.1,"bacillithiol biosynthesis deacetylase BshB2","n.a"
NWMN_RS05960,NC_009641.1,+,1157536,1159248,polX,false,WP_000161942.1,"DNA polymerase/3'_5' exonuclease PolX","n.a"
NWMN_RS12715,NC_009641.1,+,2424433,2424933,n.a,false,WP_000737705.1,"CHAP domain_containing protein","n.a"
NWMN_RS15760,NC_009641.1,+,1955516,1955629,n.a,false,WP_031784974.1,"hypothetical protein","n.a"
NWMN_RS05440,NC_009641.1,-,1076791,1078143,n.a,false,WP_001060842.1,"divalent metal cation transporter","n.a"
NWMN_RS10415,NC_009641.1,+,2020923,2021855,n.a,false,WP_000392183.1,"hypothetical protein","n.a"
NWMN_RS15555,NC_009641.1,-,2463765,2463950,n.a,false,WP_001789152.1,"hypothetical protein","n.a"
NWMN_RS01735,NC_009641.1,+,353131,355029,n.a,false,WP_000323259.1,"hypothetical protein","n.a"
NWMN_RS04100,NC_009641.1,+,812270,813109,n.a,false,WP_000749380.1,"CHAP domain_containing protein","n.a"
NWMN_RS14560,NC_009641.1,-,2787869,2789104,arcA,false,WP_000129411.1,"arginine deiminase","n.a"
NWMN_RS03545,NC_009641.1,+,705809,706852,n.a,false,WP_001030771.1,"alpha/beta hydrolase","n.a"
NWMN_RS01245,NC_009641.1,+,281356,285795,essC,false,WP_000549278.1,"type VII secretion protein EssC","n.a"
NWMN_RS02240,NC_009641.1,+,445080,445778,n.a,false,WP_000779446.1,"superantigen_like protein SSL9","n.a"
NWMN_RS13045,NC_009641.1,+,2488467,2488922,n.a,false,WP_000793169.1,"DUF3021 domain_containing protein","n.a"
NWMN_RS15525,NC_009641.1,+,2215603,2215850,n.a,true,n.a,"hypothetical protein","n.a"
NWMN_RS07230,NC_009641.1,+,1414149,1414781,n.a,false,WP_000768192.1,"phosphoribosylanthranilate isomerase","n.a"
NWMN_RS10170,NC_009641.1,-,1992871,1993818,n.a,false,WP_000350680.1,"phage tail family protein","n.a"
NWMN_RS09245,NC_009641.1,-,1834985,1836646,n.a,false,WP_000004335.1,"polysaccharide biosynthesis protein","n.a"
NWMN_RS06525,NC_009641.1,+,1269166,1270284,n.a,false,WP_001041662.1,"LysM peptidoglycan_binding domain_containing protein","n.a"
NWMN_RS03885,NC_009641.1,+,767579,769519,n.a,false,WP_000098285.1,"polyglycerol_phosphate lipoteichoic acid synthase LtaS","n.a"
NWMN_RS13560,NC_009641.1,-,2589524,2590186,n.a,false,WP_000923520.1,"ATP_binding cassette domain_containing protein","n.a"
NWMN_RS11790,NC_009641.1,-,2258847,2259509,deoC,false,WP_001083311.1,"deoxyribose_phosphate aldolase","n.a"
NWMN_RS04525,NC_009641.1,+,888714,889493,n.a,false,WP_000816184.1,"TIGR01457 family HAD_type hydrolase","n.a"
NWMN_RS06730,NC_009641.1,+,1317576,1319135,rny,false,WP_001050913.1,"ribonuclease Y","n.a"
NWMN_RS02420,NC_009641.1,+,480100,480942,gmpC,false,WP_000825521.1,"dipeptide ABC transporter glycylmethionine_binding lipoprotein","n.a"
NWMN_RS03435,NC_009641.1,-,683627,684370,n.a,false,WP_000894464.1,"metal ABC transporter ATP_binding protein","n.a"
